valor,Efetuado,Fixo,Data,Categoria,Descrição
958.0,1,0,2025-01-05,Educação,Faculdade
50.0,1,0,2025-01-10,Alimentação,Supermercado
30.0,1,0,2025-01-15,Transporte,Uber
958.0,1,0,2025-02-05,Educação,Faculdade
45.0,1,0,2025-02-12,Alimentação,Restaurante
25.0,1,0,2025-02-20,Compras,Material de escritório
958.0,1,0,2025-03-05,Educação,Faculdade
60.0,1,0,2025-03-18,Alimentação,Padaria
40.0,1,0,2025-03-25,Transporte,Ônibus
958.0,1,0,2025-04-05,Educação,Faculdade
55.0,1,0,2025-04-14,Alimentação,Supermercado
35.0,1,0,2025-04-22,Compras,Presente
958.0,1,0,2025-05-05,Educação,Faculdade
48.0,1,0,2025-05-11,Alimentação,Restaurante
28.0,1,0,2025-05-19,Transporte,Uber
958.0,1,0,2025-06-05,Educação,Faculdade
52.0,1,0,2025-06-10,Alimentação,Supermercado
38.0,1,0,2025-06-15,Compras,Material escolar

